Service Request Description,Department,Method Received,Created Date,Block,Street,Ward
Dirty Yard,Bylaw Enforcement,Web Intake,8/1/2016 1:11, , ,WARD 4
Dirty Yard,Bylaw Enforcement,Web Intake,8/1/2016 11:21, , ,WARD 8
Tree Request,Forestry and Horticulture,Phone,8/2/2016 7:43,31##,CURRY,WARD 1
Rodent Extermination,Environmental Services,Phone,8/2/2016 7:47,45##,LOVRIC,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/2/2016 7:47,23##,MERCER,WARD 3
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,8/2/2016 7:53,14##,HENRY FORD CENTRE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 7:55,14##,HENRY FORD CENTRE,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/2/2016 8:03,19##,ARRAS,WARD 4
Road Maintenance,Maintenance,Phone,8/2/2016 8:13,33##,MORRIS,WARD 1
Garbage Preparation,Bylaw Enforcement,Phone,8/2/2016 8:17,2##,VISTA,WARD 2
Dead Animal Removal,Environmental Services,Phone,8/2/2016 8:19,1##,MARENTETTE,WARD 4
Building Conditions,Inspections,Phone,8/2/2016 8:25,16##,MOY,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/2/2016 8:36,22##,LAMONT,WARD 1
Sewer Maintenance,Maintenance,Phone,8/2/2016 8:38,10##,RENDEZVOUS,WARD 7
3-Day Parking Infraction,Parking Enforcement,Phone,8/2/2016 8:38,30##,APPLE,WARD 7
Recycling Not Collected,Environmental Services,Phone,8/2/2016 8:41,66##,TECUMSEH,WARD 8
Tree Request,Forestry and Horticulture,Phone,8/2/2016 8:42,3##,SHOREVIEW,WARD 7
Tree Request,Forestry and Horticulture,Phone,8/2/2016 8:43,22##,VERCHERES,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 8:47,106##,SPRINGHOLLOW,WARD 7
Property Flooding / Grading,Inspections,Phone,8/2/2016 8:50,7##,VICTORIA,WARD 3
Tree Request,Forestry and Horticulture,Phone,8/2/2016 8:51,10##,JANISSE,WARD 6
Road Clean-Up Request,Environmental Services,Phone,8/2/2016 8:52,24##,LABELLE,WARD 10
Rodent Extermination,Environmental Services,Phone,8/2/2016 8:55,98##,HOLLY,WARD 7
Rodent Extermination,Environmental Services,Phone,8/2/2016 9:19,17##,WESTMINSTER,WARD 8
Tree Request,Forestry and Horticulture,Phone,8/2/2016 9:19,35##,BLOOMFIELD,WARD 2
Rodent Extermination,Environmental Services,Phone,8/2/2016 9:25,13##,WINDERMERE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 9:28,22##,DOUGALL,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 9:29,988##,CRAWFORD,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,8/2/2016 9:31,27##,CALIFORNIA,WARD 10
Protection of Parks,Bylaw Enforcement,Phone,8/2/2016 9:33,28##,LAUZON,WARD 8
Dead Animal Removal,Environmental Services,Phone,8/2/2016 9:34, ,PRINCE RD & VAUGHAN ST,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 9:35,8##,THOMPSON,WARD 6
